OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.001,0.032,0.001,0.001,0.001,0.001,0.01225636783281298
0.001,0.036,0.001,0.001,0.001,0.001,0.021346358662636327
0.0345,0.013,0.001,0.001,0.002,0.001,0.005827100033475953
0.001,0.042,0.001,0.001,0.002,0.001,0.02353917553615951
0.001,0.07,0.001,0.001,0.0045,0.001,0.03466047870587454
0.001,0.054,0.001,0.001,0.014,0.001,0.029735601362213676
0.001,0.097,0.001,0.001,0.006,0.001,0.06480573991664512
0.001,0.1455,0.001,0.001,0.0365,0.001,0.1388559188910488
0.001,0.114,0.001,0.001,0.057,0.001,0.21512107254233787
0.001,0.046,0.001,0.001,0.004,0.001,0.014543939112394927
0.001,0.1455,0.001,0.001,0.09,0.001,0.15987276556651
0.002,0.02,0.001,0.001,0.002,0.001,0.004444431650433214
0.001,0.094,0.001,0.001,0.01,0.001,0.10462634339966775
0.001,0.201,0.001,0.001,0.085,0.001,0.21104220926776904
0.001,0.062,0.001,0.001,0.01,0.001,0.04584036892132986
0.001,0.2975,0.001,0.001,0.7935,0.001,0.34846849423110626
0.001,0.249,0.001,0.001,0.2195,0.001,0.309257915836574
0.001,0.144,0.001,0.001,0.028,0.001,0.1340189552789671
0.004,0.024,0.01,0.001,0.015,0.001,0.008659800884716897
0.001,0.105,0.001,0.001,0.012,0.001,0.1098346097789536
0.001,0.097,0.001,0.001,0.009,0.001,0.08414567337276009
0.279,0.856,0.294,0.001,0.998,0.001,0.988563421163545
0.133,0.7965,0.1365,0.001,0.997,0.001,0.8738848469119015
0.001,0.0975,0.001,0.001,0.008,0.001,0.059207324406113586
0.001,0.1315,0.001,0.001,0.0405,0.001,0.13128699709083327
0.001,0.106,0.001,0.001,0.007,0.001,0.09580929007970967
0.001,0.139,0.002,0.001,0.045,0.001,0.13211512340190096
0.001,0.0935,0.001,0.001,0.01,0.001,0.10241731430938197
0.009,0.1475,0.002,0.001,0.322,0.001,0.13234873572631445
0.109,0.7925,0.097,0.001,0.999,0.001,0.8435772327589655
0.003,0.4425,0.002,0.001,0.944,0.001,0.4910894277349531
0.001,0.034,0.001,0.001,0.001,0.001,0.027175440015780473
0.001,0.299,0.001,0.001,0.68,0.001,0.36463812288869435
0.004,0.029,0.001,0.001,0.002,0.001,0.016190848885951698
0.001,0.084,0.001,0.001,0.008,0.001,0.04944821451531545
0.001,0.101,0.001,0.001,0.016,0.001,0.10113556679455939
0.001,0.079,0.001,0.001,0.011,0.001,0.07844790253635932
0.002,0.1115,0.002,0.001,0.031,0.001,0.11779726211433317
0.001,0.129,0.001,0.001,0.005,0.001,0.10229449144906858
0.003,0.092,0.001,0.001,0.024,0.001,0.1406237787197188
0.002,0.066,0.001,0.001,0.023,0.001,0.05998086806994735
0.015,0.024,0.002,0.001,0.006,0.001,0.052873103488842034
0.02,0.6085,0.017,0.001,0.986,0.001,0.6390056568898956
0.001,0.111,0.001,0.001,0.015,0.001,0.0910281823248611
0.001,0.046,0.001,0.001,0.009,0.001,0.03661911826948691
0.008,0.503,0.008,0.001,0.928,0.001,0.5237568155284307
0.003,0.0655,0.003,0.001,0.021,0.001,0.14073830980572175
0.002,0.093,0.002,0.001,0.011,0.001,0.11683251973766849
0.001,0.038,0.001,0.001,0.001,0.001,0.028554175713203837
0.969,0.3175,0.985,0.001,1.0,0.001,0.2953235718666814
0.001,0.112,0.001,0.001,0.016,0.001,0.11358428228948673
0.001,0.044,0.001,0.001,0.005,0.001,0.03468985418322636
0.001,0.059,0.001,0.001,0.008,0.001,0.05051377535695672
0.001,0.126,0.001,0.001,0.109,0.001,0.11853731346382598
0.007,0.062,0.008,0.001,0.011,0.001,0.05673237233781713
0.001,0.108,0.001,0.001,0.036,0.001,0.13879877105795727
0.001,0.151,0.001,0.001,0.076,0.001,0.1730925964760415
0.001,0.2255,0.001,0.001,0.4085,0.001,0.22585688164049145
0.003,0.29,0.001,0.001,0.622,0.001,0.2939371422778115
0.001,0.088,0.001,0.001,0.016,0.001,0.11664603467025447
0.001,0.046,0.001,0.001,0.006,0.001,0.016449009313440677
0.84,0.01,0.802,0.001,0.001,0.001,4.703323455568416e-06
0.001,0.126,0.001,0.001,0.05,0.001,0.18994454947889977
0.001,0.186,0.001,0.001,0.11,0.001,0.2321208573386232
0.009,0.033,0.006,0.001,0.009,0.001,0.15058085814679759
0.001,0.048,0.001,0.001,0.117,0.001,0.0342183799726879
0.001,0.039,0.001,0.001,0.001,0.001,0.009815329220064464
0.003,0.042,0.001,0.001,0.001,0.001,0.013910456194855291
0.833,0.001,0.81,0.001,0.001,0.001,9.300368850175402e-10
0.002,0.105,0.001,0.001,0.026,0.001,0.11564044562335823
0.001,0.126,0.001,0.001,0.011,0.001,0.1014187990755381
0.002,0.025,0.001,0.001,0.008,0.001,0.04361000265538895
0.158,0.014,0.04,0.001,0.001,0.001,7.380313264930824e-05
0.001,0.072,0.001,0.001,0.019,0.001,0.08048116434077515
0.001,0.031,0.001,0.001,0.001,0.001,0.0059090350665707845
0.001,0.07,0.001,0.001,0.008,0.001,0.07321961740098742
0.001,0.0435,0.001,0.001,0.001,0.001,0.026200459250445108
0.001,0.105,0.001,0.001,0.019,0.001,0.08254867235402379
0.04,0.016,0.014,0.001,0.012,0.001,0.00988436232323263
0.001,0.3515,0.001,0.001,0.542,0.001,0.4072259997864811
0.001,0.063,0.001,0.001,0.002,0.001,0.016539906856878152
0.002,0.039,0.001,0.001,0.007,0.001,0.025313839222853556
0.001,0.1665,0.001,0.001,0.22,0.001,0.16736702563714842
0.001,0.071,0.001,0.001,0.017,0.001,0.03989734812109064
0.001,0.023,0.001,0.001,0.003,0.001,0.02724222039528612
0.006,0.4725,0.005,0.001,0.9515,0.001,0.5163588225234537
0.003,0.027,0.001,0.001,0.001,0.001,0.017634304168104742
