,dispersion-pval
0,0.423
1,0.676
2,0.406
3,0.469
4,0.317
5,0.418
6,0.541
7,0.14
8,0.698
9,0.697
10,0.732
11,0.659
12,0.692
13,0.597
14,0.311
15,0.504
16,0.72
17,0.738
18,0.662
19,0.649
20,0.671
21,0.647
22,0.564
23,0.699
24,0.601
25,0.262
26,0.097
27,0.516
28,0.683
29,0.367
30,0.663
31,0.572
32,0.681
33,0.594
34,0.23
35,0.105
36,0.344
37,0.696
38,0.64
39,0.628
40,0.64
41,0.583
42,0.465
43,0.335
44,0.32
45,0.184
46,0.365
47,0.538
48,0.655
49,0.702
50,0.607
51,0.701
52,0.547
53,0.723
54,0.632
55,0.646
56,0.283
57,0.514
58,0.629
59,0.321
60,0.613
61,0.519
62,0.696
63,0.618
64,0.629
65,0.618
66,0.236
67,0.619
68,0.35
69,0.616
70,0.473
71,0.467
72,0.498
73,0.677
74,0.698
75,0.61
76,0.699
77,0.699
78,0.671
79,0.275
80,0.534
81,0.686
82,0.132
83,0.314
84,0.634
85,0.331
86,0.666
87,0.688
88,0.087
89,0.308
90,0.252
91,0.231
92,0.598
93,0.51
94,0.323
95,0.68
96,0.541
97,0.629
98,0.678
99,0.6965
100,0.675
101,0.701
102,0.587
103,0.154
104,0.647
105,0.577
106,0.091
107,0.352
108,0.356
109,0.623
110,0.653
111,0.574
112,0.605
113,0.651
114,0.684
115,0.414
116,0.645
117,0.677
118,0.397
119,0.394
120,0.054
121,0.543
122,0.655
123,0.05
124,0.27
125,0.692
126,0.614
127,0.229
128,0.326
129,0.63
130,0.359
131,0.697
132,0.661
133,0.357
134,0.591
135,0.533
136,0.652
137,0.644
138,0.432
139,0.612
140,0.182
141,0.691
142,0.232
143,0.53
144,0.686
145,0.382
146,0.394
147,0.365
148,0.097
149,0.576
150,0.709
151,0.449
152,0.597
153,0.31
154,0.679
155,0.686
156,0.359
157,0.677
158,0.652
159,0.231
160,0.506
161,0.482
162,0.657
163,0.094
164,0.062
165,0.451
166,0.521
167,0.688
168,0.69
169,0.52
170,0.574
171,0.573
172,0.694
173,0.718
174,0.042
175,0.313
176,0.681
177,0.421
178,0.252
179,0.453
180,0.541
181,0.33
182,0.667
183,0.393
184,0.443
185,0.56
186,0.643
187,0.63
188,0.433
189,0.102
190,0.363
191,0.384
192,0.608
193,0.219
194,0.421
195,0.684
196,0.656
197,0.673
198,0.508
199,0.595
200,0.554
201,0.209
202,0.274
203,0.435
204,0.555
205,0.427
206,0.664
207,0.642
208,0.44
209,0.483
210,0.557
211,0.368
212,0.046
213,0.693
214,0.312
215,0.627
216,0.601
217,0.407
218,0.655
219,0.058
220,0.684
221,0.606
222,0.692
223,0.717
224,0.564
225,0.578
226,0.395
227,0.563
228,0.45
229,0.092
230,0.58
231,0.221
232,0.612
233,0.527
234,0.719
235,0.652
236,0.273
237,0.54
238,0.701
239,0.463
240,0.491
241,0.663
242,0.501
243,0.396
244,0.517
245,0.501
246,0.693
247,0.044
248,0.635
249,0.689
250,0.659
251,0.677
252,0.648
253,0.428
254,0.261
255,0.476
256,0.492
257,0.639
258,0.314
259,0.059
260,0.684
261,0.609
262,0.663
263,0.628
264,0.382
265,0.687
266,0.545
267,0.647
268,0.467
269,0.475
270,0.548
271,0.674
272,0.391
273,0.688
274,0.569
275,0.258
276,0.658
277,0.206
278,0.301
279,0.319
280,0.601
281,0.6385
282,0.681
