,dispersion-pval
0,0.33
1,0.545
2,0.561
3,0.4755
4,0.638
5,0.666
6,0.546
7,0.62
8,0.46
9,0.685
10,0.418
11,0.678
12,0.524
13,0.501
14,0.557
15,0.113
16,0.503
17,0.127
18,0.481
19,0.684
20,0.655
21,0.37
22,0.282
23,0.423
24,0.363
25,0.687
26,0.689
27,0.578
28,0.507
29,0.636
30,0.386
31,0.187
32,0.09
33,0.477
34,0.606
35,0.665
36,0.547
37,0.5885
38,0.699
39,0.52
40,0.357
41,0.612
42,0.473
43,0.026
44,0.665
45,0.69
46,0.648
47,0.544
48,0.631
49,0.554
50,0.684
51,0.362
52,0.362
53,0.409
54,0.597
55,0.371
56,0.334
57,0.173
58,0.719
59,0.662
60,0.613
61,0.505
62,0.497
63,0.561
64,0.188
65,0.243
66,0.467
67,0.567
68,0.608
69,0.547
70,0.621
71,0.079
72,0.158
73,0.566
74,0.021
75,0.544
76,0.425
77,0.706
78,0.68
79,0.529
80,0.656
81,0.295
82,0.628
83,0.538
84,0.452
85,0.581
86,0.66
87,0.581
88,0.685
89,0.687
90,0.341
91,0.342
92,0.212
93,0.684
94,0.49
95,0.645
96,0.202
97,0.248
98,0.682
99,0.597
100,0.4115
101,0.696
102,0.343
103,0.608
104,0.705
105,0.621
106,0.659
107,0.461
108,0.282
109,0.658
110,0.673
111,0.443
112,0.6
113,0.398
114,0.647
115,0.545
116,0.616
117,0.248
118,0.648
119,0.35
120,0.653
121,0.675
122,0.488
123,0.68
124,0.465
125,0.178
126,0.566
127,0.599
128,0.194
129,0.655
130,0.701
131,0.383
132,0.312
133,0.674
134,0.663
135,0.694
136,0.205
137,0.258
138,0.404
139,0.473
140,0.633
141,0.655
142,0.172
143,0.519
144,0.579
145,0.145
146,0.268
147,0.241
148,0.601
149,0.604
150,0.663
151,0.442
152,0.599
153,0.522
154,0.505
155,0.221
156,0.406
157,0.582
158,0.506
159,0.595
160,0.535
161,0.631
162,0.488
163,0.475
164,0.378
165,0.33
166,0.227
167,0.505
168,0.513
169,0.181
170,0.603
171,0.698
172,0.337
173,0.479
174,0.672
175,0.425
176,0.646
177,0.603
178,0.646
179,0.301
180,0.336
181,0.315
182,0.606
183,0.332
184,0.227
185,0.68
186,0.54
187,0.273
188,0.336
189,0.376
190,0.682
191,0.368
192,0.146
193,0.265
194,0.608
195,0.663
196,0.4
197,0.671
198,0.601
199,0.678
200,0.574
201,0.484
202,0.628
203,0.611
204,0.711
205,0.703
206,0.341
207,0.657
208,0.144
209,0.665
210,0.651
211,0.405
212,0.579
213,0.411
214,0.414
215,0.648
216,0.669
217,0.601
218,0.68
219,0.705
220,0.31
221,0.5
222,0.658
223,0.351
224,0.62
225,0.522
226,0.681
227,0.565
228,0.394
229,0.176
230,0.189
231,0.377
232,0.391
233,0.584
234,0.382
235,0.683
236,0.467
237,0.701
238,0.438
239,0.692
240,0.671
241,0.636
242,0.567
243,0.349
244,0.197
245,0.673
246,0.543
247,0.588
248,0.551
249,0.703
250,0.666
251,0.646
252,0.463
253,0.54
254,0.243
255,0.612
256,0.499
257,0.713
258,0.294
259,0.625
260,0.599
261,0.692
262,0.241
263,0.47
264,0.609
265,0.199
266,0.399
267,0.369
268,0.526
269,0.739
270,0.035
271,0.689
272,0.671
273,0.136
274,0.169
275,0.43
276,0.612
277,0.29
278,0.708
279,0.678
280,0.661
281,0.449
282,0.683
283,0.674
284,0.35
285,0.525
286,0.585
287,0.664
288,0.686
289,0.383
290,0.5565
291,0.741
292,0.706
293,0.633
294,0.475
295,0.524
296,0.706
297,0.135
298,0.678
299,0.454
300,0.655
301,0.571
302,0.567
303,0.522
304,0.712
305,0.299
306,0.698
307,0.701
308,0.654
309,0.589
310,0.293
311,0.674
312,0.707
313,0.586
314,0.204
315,0.305
316,0.545
317,0.408
318,0.651
319,0.465
320,0.348
321,0.574
322,0.592
323,0.56
324,0.482
325,0.655
326,0.609
327,0.695
328,0.351
329,0.23
330,0.557
331,0.427
332,0.412
333,0.483
334,0.276
335,0.204
336,0.573
337,0.618
338,0.69
339,0.681
340,0.508
341,0.601
342,0.708
343,0.629
344,0.336
345,0.696
346,0.492
347,0.46
348,0.671
349,0.708
350,0.593
351,0.567
352,0.703
353,0.383
354,0.65
355,0.633
356,0.65
357,0.612
358,0.461
359,0.668
360,0.695
361,0.3455
362,0.137
363,0.303
364,0.2
365,0.14
366,0.634
367,0.164
368,0.102
369,0.507
370,0.673
371,0.074
372,0.273
373,0.111
374,0.584
375,0.362
376,0.417
377,0.739
378,0.156
379,0.706
380,0.635
381,0.433
382,0.601
383,0.626
384,0.519
385,0.245
386,0.613
387,0.161
388,0.634
389,0.631
390,0.507
391,0.361
392,0.684
393,0.67
394,0.581
395,0.502
396,0.68
