,dispersion-pval
0,0.003
1,0.002
2,0.109
3,0.032
4,0.169
5,0.008
6,0.02
7,0.362
8,0.001
9,0.094
10,0.025
11,0.011
12,0.06
13,0.001
14,0.174
15,0.005
16,0.053
17,0.231
18,0.038
19,0.002
20,0.021
21,0.002
22,0.047
23,0.005
24,0.059
25,0.006
26,0.001
27,0.003
28,0.199
29,0.001
30,0.005
31,0.001
32,0.014
33,0.025
34,0.021
35,0.112
36,0.005
37,0.028
38,0.072
39,0.065
40,0.004
41,0.025
42,0.005
43,0.142
44,0.066
45,0.097
46,0.004
47,0.001
48,0.084
49,0.096
50,0.05
51,0.168
52,0.006
53,0.004
54,0.009
55,0.38
56,0.024
57,0.084
58,0.045
59,0.003
60,0.027
61,0.027
62,0.007
63,0.008
64,0.023
65,0.015
66,0.001
67,0.006
68,0.026
69,0.027
70,0.008
71,0.015
72,0.032
73,0.011
74,0.008
75,0.001
76,0.005
77,0.011
78,0.003
79,0.002
80,0.005
81,0.001
82,0.035
83,0.053
84,0.003
85,0.04
86,0.044
87,0.001
88,0.039
89,0.265
90,0.004
91,0.029
92,0.015
93,0.003
94,0.084
95,0.022
96,0.7
97,0.011
98,0.091
99,0.009
100,0.083
101,0.001
102,0.009
103,0.195
104,0.05
105,0.004
106,0.003
107,0.007
108,0.012
109,0.009
110,0.013
111,0.021
112,0.318
113,0.164
114,0.001
115,0.013
116,0.107
117,0.002
118,0.033
119,0.025
120,0.001
121,0.679
122,0.005
123,0.002
124,0.001
125,0.001
126,0.013
127,0.007
128,0.071
129,0.009
130,0.107
131,0.003
132,0.076
133,0.025
134,0.109
135,0.041
136,0.001
137,0.073
138,0.016
139,0.206
140,0.312
141,0.068
142,0.007
143,0.015
144,0.004
145,0.07
146,0.0955
147,0.018
148,0.029
149,0.02
150,0.073
151,0.052
152,0.003
153,0.057
154,0.006
155,0.001
156,0.001
157,0.097
158,0.181
159,0.009
160,0.014
161,0.034
162,0.015
163,0.049
164,0.002
165,0.004
166,0.001
167,0.023
168,0.004
169,0.013
170,0.093
171,0.017
172,0.008
173,0.006
174,0.003
175,0.039
176,0.007
177,0.001
178,0.031
179,0.005
180,0.004
181,0.008
182,0.015
183,0.001
184,0.02
185,0.085
186,0.003
187,0.038
188,0.012
189,0.002
190,0.001
191,0.01
192,0.003
193,0.001
194,0.008
195,0.334
196,0.018
197,0.003
198,0.002
199,0.145
200,0.028
201,0.368
202,0.005
203,0.032
204,0.056
205,0.029
206,0.004
207,0.002
208,0.002
209,0.107
210,0.007
211,0.236
212,0.025
213,0.001
214,0.22
215,0.074
216,0.001
217,0.028
218,0.009
219,0.003
220,0.002
221,0.292
222,0.005
223,0.066
224,0.386
225,0.008
226,0.001
227,0.017
228,0.008
229,0.012
230,0.018
231,0.006
232,0.044
233,0.007
234,0.179
235,0.016
236,0.15
237,0.023
238,0.016
239,0.011
240,0.597
241,0.025
242,0.002
243,0.005
244,0.031
245,0.014
246,0.017
247,0.007
248,0.004
249,0.005
250,0.03
251,0.011
252,0.004
253,0.005
254,0.004
255,0.024
256,0.046
257,0.011
258,0.002
259,0.019
260,0.006
261,0.01
262,0.004
263,0.005
264,0.001
265,0.009
266,0.006
267,0.007
268,0.006
269,0.001
270,0.003
271,0.001
272,0.13
273,0.02
274,0.05
275,0.015
276,0.074
277,0.134
278,0.007
279,0.126
280,0.004
281,0.089
282,0.483
283,0.001
284,0.016
285,0.004
286,0.061
287,0.025
288,0.004
289,0.001
290,0.507
291,0.003
292,0.005
293,0.066
294,0.023
295,0.04
296,0.001
297,0.002
298,0.024
299,0.012
300,0.658
301,0.021
302,0.004
303,0.059
304,0.001
305,0.083
306,0.006
307,0.057
308,0.198
309,0.002
310,0.004
311,0.011
312,0.015
313,0.018
314,0.008
315,0.354
316,0.001
317,0.006
318,0.003
319,0.02
320,0.003
321,0.003
322,0.18
323,0.001
324,0.006
325,0.43
326,0.005
327,0.074
328,0.035
329,0.01
330,0.393
331,0.043
332,0.006
333,0.002
334,0.043
335,0.14
336,0.006
337,0.013
338,0.001
339,0.046
340,0.017
341,0.038
342,0.015
343,0.003
344,0.011
345,0.012
346,0.009
347,0.028
348,0.01
349,0.003
350,0.001
351,0.001
352,0.039
353,0.013
354,0.161
355,0.01
356,0.467
357,0.072
358,0.023
359,0.016
360,0.001
361,0.003
362,0.046
363,0.05
364,0.025
365,0.024
366,0.012
367,0.004
368,0.004
369,0.003
370,0.001
371,0.008
372,0.268
373,0.105
374,0.002
375,0.036
376,0.081
377,0.335
378,0.025
379,0.001
380,0.046
381,0.007
382,0.002
383,0.006
384,0.139
385,0.084
386,0.002
387,0.001
388,0.042
389,0.002
390,0.169
391,0.087
392,0.034
393,0.003
394,0.001
395,0.228
396,0.004
397,0.007
398,0.078
399,0.006
400,0.002
401,0.001
402,0.221
403,0.018
404,0.002
405,0.009
406,0.023
407,0.003
408,0.008
409,0.009
410,0.003
411,0.018
412,0.032
413,0.004
414,0.032
415,0.067
416,0.089
417,0.073
418,0.002
419,0.007
420,0.012
421,0.001
422,0.017
423,0.044
424,0.043
425,0.145
426,0.001
427,0.003
428,0.247
429,0.022
430,0.079
431,0.003
432,0.021
433,0.002
434,0.103
435,0.002
436,0.164
437,0.012
438,0.038
439,0.01
440,0.02
441,0.192
442,0.301
443,0.009
444,0.008
445,0.045
446,0.14
447,0.022
448,0.009
449,0.002
450,0.015
451,0.01
452,0.033
453,0.01
454,0.014
455,0.001
456,0.005
457,0.001
458,0.021
459,0.014
460,0.009
461,0.006
462,0.023
463,0.009
464,0.015
465,0.019
466,0.131
467,0.205
468,0.048
469,0.106
470,0.002
471,0.012
472,0.011
473,0.006
474,0.018
475,0.067
476,0.018
477,0.018
478,0.011
479,0.078
480,0.003
481,0.027
482,0.003
483,0.189
484,0.048
485,0.001
486,0.04
487,0.037
488,0.003
489,0.009
490,0.09
491,0.002
492,0.028
493,0.013
494,0.018
495,0.004
496,0.034
497,0.003
498,0.108
499,0.01
500,0.021
501,0.615
502,0.094
503,0.001
504,0.022
505,0.028
506,0.001
507,0.351
508,0.073
509,0.172
510,0.004
511,0.002
512,0.033
513,0.019
514,0.023
515,0.002
516,0.199
517,0.001
518,0.027
519,0.019
520,0.002
521,0.008
522,0.136
523,0.113
524,0.012
525,0.138
526,0.002
527,0.007
528,0.035
529,0.001
530,0.023
531,0.002
532,0.082
533,0.006
534,0.035
535,0.003
536,0.038
537,0.004
538,0.018
539,0.001
540,0.009
541,0.132
542,0.079
543,0.017
544,0.084
545,0.001
546,0.15
547,0.011
548,0.076
549,0.054
550,0.044
551,0.001
552,0.033
553,0.008
554,0.028
555,0.003
556,0.045
557,0.075
558,0.036
559,0.276
560,0.007
561,0.049
562,0.059
563,0.187
564,0.009
565,0.044
566,0.012
567,0.076
568,0.028
569,0.001
570,0.017
571,0.004
572,0.016
573,0.002
574,0.014
575,0.01
576,0.052
577,0.07
578,0.003
579,0.016
580,0.016
581,0.007
582,0.017
583,0.0235
584,0.005
585,0.021
586,0.008
587,0.04
588,0.037
589,0.001
590,0.019
591,0.004
592,0.126
593,0.01
594,0.004
595,0.002
596,0.01
597,0.007
598,0.023
599,0.003
600,0.001
601,0.006
602,0.006
603,0.008
604,0.017
605,0.005
606,0.012
607,0.027
608,0.002
609,0.001
610,0.057
611,0.193
612,0.001
613,0.036
614,0.012
615,0.013
616,0.008
617,0.007
618,0.003
619,0.112
620,0.327
621,0.013
622,0.002
623,0.003
624,0.011
625,0.302
626,0.019
627,0.001
