,dispersion-pval
0,0.002
1,0.001
2,0.021
3,0.004
4,0.001
5,0.013
6,0.149
7,0.023
8,0.039
9,0.001
10,0.076
11,0.001
12,0.057
13,0.002
14,0.056
15,0.001
16,0.237
17,0.274
18,0.124
19,0.003
20,0.023
21,0.01
22,0.003
23,0.012
24,0.025
25,0.003
26,0.007
27,0.001
28,0.171
29,0.007
30,0.001
31,0.28
32,0.165
33,0.01
34,0.163
35,0.105
36,0.057
37,0.001
38,0.037
39,0.215
40,0.023
41,0.046
42,0.004
43,0.491
44,0.019
45,0.001
46,0.009
47,0.007
48,0.018
49,0.267
50,0.01
51,0.001
52,0.014
53,0.035
54,0.035
55,0.019
56,0.011
57,0.001
58,0.13
59,0.005
60,0.001
61,0.155
62,0.014
63,0.011
64,0.063
65,0.256
66,0.001
67,0.005
68,0.001
69,0.006
70,0.056
71,0.111
72,0.144
73,0.002
74,0.011
75,0.079
76,0.051
77,0.394
78,0.001
79,0.015
80,0.019
81,0.028
82,0.136
83,0.002
84,0.114
85,0.001
86,0.003
87,0.001
88,0.007
89,0.003
90,0.02
91,0.009
92,0.4
93,0.03
94,0.015
95,0.001
96,0.094
97,0.001
98,0.07
99,0.009
100,0.011
101,0.001
102,0.031
103,0.049
104,0.006
105,0.018
106,0.117
107,0.001
108,0.043
109,0.002
110,0.355
111,0.003
112,0.007
113,0.001
114,0.001
115,0.339
116,0.003
117,0.002
118,0.079
119,0.003
120,0.019
121,0.001
122,0.01
123,0.002
124,0.274
125,0.111
126,0.02
127,0.005
128,0.013
129,0.588
130,0.007
131,0.011
132,0.003
133,0.002
134,0.199
135,0.001
136,0.01
137,0.145
138,0.004
139,0.005
140,0.033
141,0.01
142,0.001
143,0.0265
144,0.005
145,0.013
146,0.009
147,0.084
148,0.021
149,0.039
150,0.013
151,0.104
152,0.01
153,0.056
154,0.039
155,0.001
156,0.027
157,0.004
158,0.001
159,0.009
160,0.001
161,0.03
162,0.004
163,0.016
164,0.001
165,0.012
166,0.002
167,0.006
168,0.154
169,0.001
170,0.001
171,0.005
172,0.017
173,0.027
174,0.002
175,0.545
176,0.024
177,0.059
178,0.006
179,0.056
180,0.107
181,0.205
182,0.001
183,0.01
184,0.015
185,0.113
186,0.089
187,0.006
188,0.005
189,0.008
190,0.011
191,0.003
192,0.167
193,0.005
194,0.035
195,0.011
196,0.04
197,0.001
198,0.006
199,0.024
200,0.002
201,0.098
202,0.207
203,0.005
204,0.005
205,0.001
206,0.011
207,0.01
208,0.009
209,0.001
210,0.119
211,0.245
212,0.039
213,0.014
214,0.008
215,0.015
216,0.003
217,0.005
218,0.009
219,0.126
220,0.132
221,0.013
222,0.166
223,0.001
224,0.003
225,0.096
226,0.004
227,0.008
228,0.025
229,0.014
230,0.133
231,0.212
232,0.023
233,0.001
234,0.031
235,0.157
236,0.003
237,0.0705
238,0.105
239,0.203
240,0.005
241,0.002
242,0.147
243,0.002
244,0.006
245,0.018
246,0.018
247,0.006
248,0.045
249,0.001
250,0.007
251,0.025
252,0.086
253,0.019
254,0.064
255,0.004
256,0.273
257,0.005
258,0.041
259,0.057
260,0.131
261,0.003
262,0.003
263,0.082
264,0.175
265,0.007
266,0.002
267,0.523
268,0.155
269,0.044
270,0.001
271,0.001
272,0.016
273,0.002
274,0.002
275,0.014
276,0.062
277,0.024
278,0.001
279,0.054
280,0.001
281,0.003
282,0.002
283,0.028
284,0.107
285,0.001
286,0.001
287,0.001
288,0.004
289,0.168
290,0.094
291,0.009
292,0.052
293,0.035
