,dispersion-pval
0,0.704
1,0.006
2,0.007
3,0.066
4,0.041
5,0.086
6,0.004
7,0.005
8,0.087
9,0.006
10,0.129
11,0.005
12,0.002
13,0.011
14,0.047
15,0.001
16,0.288
17,0.003
18,0.003
19,0.001
20,0.004
21,0.015
22,0.001
23,0.001
24,0.001
25,0.021
26,0.004
27,0.017
28,0.002
29,0.069
30,0.006
31,0.027
32,0.049
33,0.01
34,0.104
35,0.028
36,0.004
37,0.238
38,0.005
39,0.436
40,0.006
41,0.034
42,0.003
43,0.356
44,0.04
45,0.003
46,0.039
47,0.022
48,0.075
49,0.642
50,0.002
51,0.016
52,0.038
53,0.005
54,0.001
55,0.001
56,0.003
57,0.008
58,0.011
59,0.051
60,0.001
61,0.006
62,0.001
63,0.001
64,0.027
65,0.197
66,0.019
67,0.005
68,0.037
69,0.007
70,0.002
71,0.003
72,0.003
73,0.047
74,0.006
75,0.014
76,0.04
77,0.001
78,0.001
79,0.001
80,0.013
81,0.001
82,0.031
83,0.001
84,0.021
85,0.008
86,0.238
87,0.009
88,0.309
89,0.105
90,0.017
91,0.036
92,0.025
93,0.006
94,0.015
95,0.03
96,0.036
97,0.073
98,0.001
99,0.013
100,0.128
101,0.001
102,0.001
103,0.042
104,0.014
105,0.005
106,0.05
107,0.006
108,0.004
109,0.01
110,0.049
111,0.056
112,0.003
113,0.003
114,0.008
115,0.001
116,0.013
117,0.012
118,0.001
119,0.02
120,0.012
121,0.004
122,0.007
123,0.001
124,0.014
125,0.1
126,0.026
127,0.001
128,0.058
129,0.165
130,0.022
131,0.003
132,0.074
133,0.004
134,0.005
135,0.023
136,0.002
137,0.058
138,0.061
139,0.04
140,0.043
141,0.008
142,0.374
143,0.026
144,0.016
145,0.041
146,0.067
147,0.012
148,0.005
149,0.001
150,0.077
151,0.001
152,0.002
153,0.002
154,0.058
155,0.013
156,0.266
157,0.019
158,0.023
159,0.163
160,0.006
161,0.013
162,0.002
163,0.01
164,0.001
165,0.005
166,0.006
167,0.015
168,0.003
169,0.006
170,0.008
171,0.002
172,0.098
173,0.01
174,0.025
175,0.006
176,0.322
177,0.062
178,0.003
179,0.001
180,0.023
181,0.003
182,0.001
183,0.109
184,0.002
185,0.004
186,0.07
187,0.024
188,0.035
189,0.001
190,0.004
191,0.001
192,0.003
193,0.011
194,0.011
195,0.001
196,0.015
197,0.009
198,0.002
199,0.002
200,0.005
201,0.015
202,0.048
203,0.011
204,0.079
205,0.002
206,0.174
207,0.083
208,0.118
209,0.034
210,0.056
211,0.167
212,0.001
213,0.003
214,0.661
215,0.008
216,0.001
217,0.115
218,0.005
219,0.043
220,0.131
221,0.022
222,0.045
223,0.469
224,0.051
225,0.001
226,0.01
227,0.264
228,0.092
229,0.061
230,0.208
231,0.021
232,0.001
233,0.019
234,0.002
235,0.009
236,0.006
237,0.103
238,0.002
239,0.144
240,0.018
241,0.001
242,0.044
243,0.003
244,0.071
245,0.01
246,0.088
247,0.017
248,0.054
249,0.006
250,0.05
251,0.001
252,0.131
253,0.535
254,0.038
255,0.004
256,0.161
257,0.007
258,0.002
259,0.007
260,0.238
261,0.015
262,0.013
263,0.035
264,0.001
265,0.193
266,0.075
267,0.006
268,0.127
269,0.024
270,0.001
271,0.026
272,0.001
273,0.001
274,0.012
275,0.007
276,0.003
277,0.001
278,0.017
279,0.015
280,0.076
281,0.001
282,0.029
283,0.014
284,0.031
285,0.12
286,0.071
287,0.154
288,0.011
289,0.009
290,0.003
291,0.035
292,0.005
293,0.005
294,0.023
295,0.111
296,0.001
297,0.001
298,0.296
299,0.056
300,0.003
301,0.001
302,0.002
303,0.007
304,0.017
305,0.068
306,0.002
307,0.034
308,0.721
309,0.035
310,0.131
311,0.042
312,0.049
313,0.03
314,0.014
315,0.018
316,0.033
317,0.055
318,0.006
319,0.028
320,0.165
321,0.01
322,0.212
323,0.502
324,0.043
325,0.099
326,0.016
327,0.135
328,0.044
329,0.002
330,0.014
331,0.353
332,0.434
333,0.001
334,0.002
335,0.009
336,0.003
337,0.014
338,0.007
339,0.004
340,0.001
341,0.018
342,0.001
343,0.041
344,0.035
345,0.025
346,0.007
347,0.032
348,0.085
349,0.28
350,0.002
351,0.002
352,0.017
353,0.004
354,0.001
355,0.244
356,0.002
357,0.003
358,0.036
359,0.028
360,0.049
361,0.043
362,0.018
363,0.054
364,0.004
365,0.094
366,0.006
367,0.085
368,0.004
369,0.077
370,0.067
371,0.022
372,0.001
373,0.173
374,0.001
375,0.013
376,0.019
377,0.024
378,0.002
379,0.049
380,0.02
381,0.001
382,0.034
383,0.243
384,0.003
385,0.001
386,0.03
387,0.1
388,0.029
389,0.003
390,0.011
391,0.001
392,0.007
393,0.009
394,0.003
395,0.045
396,0.07
397,0.006
398,0.032
399,0.002
400,0.002
401,0.01
402,0.017
403,0.002
404,0.014
405,0.023
406,0.001
407,0.003
408,0.024
409,0.125
410,0.006
411,0.002
412,0.003
413,0.005
414,0.029
415,0.029
416,0.001
417,0.007
418,0.18
419,0.006
420,0.435
421,0.13
422,0.01
423,0.018
424,0.04
425,0.063
426,0.143
427,0.014
428,0.068
429,0.024
430,0.008
431,0.004
432,0.001
433,0.024
434,0.149
435,0.006
436,0.029
437,0.006
438,0.082
439,0.008
440,0.07
441,0.085
442,0.371
443,0.001
444,0.014
445,0.26
446,0.064
447,0.0255
448,0.014
449,0.013
450,0.01
451,0.002
452,0.006
453,0.021
454,0.154
455,0.097
456,0.116
457,0.001
458,0.04
459,0.059
460,0.002
461,0.035
462,0.001
463,0.017
464,0.001
465,0.024
466,0.052
467,0.004
468,0.007
469,0.001
470,0.191
471,0.003
472,0.014
473,0.071
474,0.003
475,0.017
476,0.001
477,0.003
478,0.637
479,0.008
480,0.004
481,0.01
482,0.028
483,0.008
484,0.005
485,0.03
486,0.003
487,0.039
488,0.017
489,0.029
490,0.002
491,0.001
492,0.061
493,0.001
494,0.002
495,0.002
496,0.005
497,0.426
498,0.006
499,0.008
500,0.001
501,0.149
502,0.002
503,0.002
504,0.047
505,0.569
506,0.104
507,0.002
508,0.029
509,0.023
510,0.001
511,0.008
512,0.039
513,0.011
514,0.17
515,0.008
516,0.001
517,0.021
518,0.062
519,0.002
520,0.025
521,0.005
522,0.137
523,0.002
524,0.014
525,0.097
526,0.014
527,0.26
528,0.092
529,0.004
530,0.003
531,0.022
532,0.196
533,0.018
534,0.023
535,0.462
536,0.001
537,0.005
538,0.379
539,0.027
540,0.082
541,0.001
542,0.07
543,0.017
544,0.078
545,0.027
546,0.041
547,0.007
548,0.534
549,0.002
