,dispersion-pval
0,0.545
1,0.553
2,0.553
3,0.193
4,0.422
5,0.432
6,0.214
7,0.261
8,0.559
9,0.474
10,0.674
11,0.206
12,0.313
13,0.183
14,0.588
15,0.635
16,0.457
17,0.586
18,0.642
19,0.542
20,0.372
21,0.637
22,0.621
23,0.221
24,0.604
25,0.466
26,0.332
27,0.475
28,0.406
29,0.478
30,0.585
31,0.639
32,0.326
33,0.278
34,0.659
35,0.633
36,0.614
37,0.607
38,0.356
39,0.258
40,0.095
41,0.151
42,0.216
43,0.253
44,0.65
45,0.662
46,0.358
47,0.5
48,0.644
49,0.517
50,0.411
51,0.656
52,0.461
53,0.324
54,0.653
55,0.666
56,0.568
57,0.175
58,0.407
59,0.512
60,0.565
61,0.639
62,0.574
63,0.152
64,0.638
65,0.564
66,0.392
67,0.546
68,0.477
69,0.426
70,0.535
71,0.213
72,0.647
73,0.577
74,0.539
75,0.621
76,0.609
77,0.408
78,0.551
79,0.353
80,0.323
81,0.492
82,0.653
83,0.554
84,0.569
85,0.598
86,0.65
87,0.39
88,0.322
89,0.482
90,0.615
91,0.639
92,0.58
93,0.39
94,0.378
95,0.523
96,0.43
97,0.628
98,0.574
99,0.657
100,0.609
101,0.514
102,0.564
103,0.482
104,0.597
105,0.505
106,0.45
107,0.649
108,0.627
109,0.624
110,0.061
111,0.255
112,0.303
113,0.481
114,0.214
115,0.582
116,0.547
117,0.375
118,0.368
119,0.627
120,0.663
121,0.63
122,0.521
123,0.294
124,0.411
125,0.501
126,0.29
127,0.578
128,0.345
129,0.54
130,0.608
131,0.602
132,0.248
133,0.56
134,0.603
135,0.651
136,0.637
137,0.289
138,0.42
139,0.267
140,0.248
141,0.338
142,0.451
143,0.389
144,0.578
145,0.499
146,0.524
147,0.603
148,0.665
149,0.597
150,0.55
151,0.372
152,0.361
153,0.313
154,0.239
155,0.474
156,0.619
157,0.442
158,0.627
159,0.399
160,0.596
161,0.583
162,0.634
163,0.466
164,0.5395
165,0.639
166,0.617
167,0.398
168,0.357
169,0.669
170,0.629
171,0.621
172,0.206
173,0.666
174,0.503
175,0.599
176,0.602
177,0.605
178,0.566
179,0.671
180,0.658
181,0.412
182,0.444
183,0.61
184,0.625
185,0.572
186,0.644
187,0.369
188,0.633
189,0.615
190,0.552
191,0.345
192,0.588
193,0.482
194,0.655
195,0.652
196,0.383
197,0.509
198,0.658
199,0.669
200,0.63
201,0.345
202,0.648
203,0.656
204,0.646
205,0.465
206,0.628
207,0.259
208,0.653
209,0.501
210,0.644
211,0.62
212,0.12
213,0.3
214,0.298
215,0.641
216,0.347
217,0.638
218,0.551
219,0.477
220,0.592
221,0.606
222,0.634
223,0.571
224,0.307
225,0.393
226,0.556
227,0.356
228,0.664
229,0.403
230,0.663
231,0.65
232,0.681
233,0.648
234,0.383
235,0.443
236,0.573
237,0.682
238,0.649
239,0.675
240,0.615
241,0.662
242,0.325
243,0.146
244,0.598
245,0.433
246,0.663
247,0.343
248,0.3
249,0.481
250,0.664
251,0.577
252,0.513
253,0.588
254,0.447
255,0.631
256,0.464
257,0.189
258,0.647
259,0.628
260,0.552
261,0.671
262,0.605
263,0.588
264,0.659
265,0.672
266,0.419
267,0.624
268,0.519
269,0.492
270,0.592
271,0.64
272,0.493
273,0.525
274,0.296
275,0.573
276,0.435
277,0.636
278,0.535
279,0.632
280,0.444
281,0.63
282,0.61
283,0.54
284,0.635
285,0.597
286,0.271
287,0.61
288,0.588
289,0.534
290,0.59
291,0.61
292,0.107
293,0.634
294,0.583
295,0.121
296,0.601
297,0.505
298,0.441
299,0.287
300,0.541
301,0.354
302,0.317
303,0.564
304,0.656
305,0.092
306,0.496
307,0.655
308,0.537
309,0.438
310,0.475
311,0.632
312,0.249
313,0.509
314,0.667
315,0.673
316,0.635
317,0.566
318,0.627
319,0.596
320,0.619
321,0.576
322,0.651
323,0.347
324,0.65
325,0.678
326,0.66
327,0.104
328,0.377
329,0.561
330,0.55
331,0.244
332,0.326
333,0.622
334,0.275
335,0.577
336,0.505
337,0.436
338,0.707
339,0.554
340,0.204
341,0.575
342,0.57
343,0.469
344,0.451
345,0.654
346,0.564
347,0.294
348,0.452
349,0.586
350,0.448
351,0.61
352,0.464
353,0.187
354,0.054
355,0.278
356,0.633
357,0.659
358,0.338
359,0.593
360,0.417
361,0.501
362,0.446
363,0.58
364,0.665
365,0.411
366,0.579
367,0.576
368,0.639
369,0.641
370,0.651
371,0.482
372,0.478
373,0.37
374,0.611
375,0.622
376,0.404
377,0.626
378,0.672
379,0.65
380,0.473
381,0.61
382,0.644
383,0.299
384,0.109
385,0.643
386,0.413
387,0.601
388,0.626
389,0.451
390,0.057
391,0.645
392,0.622
393,0.591
394,0.609
395,0.633
396,0.606
397,0.598
398,0.468
399,0.634
400,0.536
401,0.289
402,0.683
403,0.511
404,0.534
405,0.621
406,0.215
407,0.641
408,0.62
409,0.525
410,0.518
411,0.607
412,0.638
413,0.553
414,0.181
415,0.64
416,0.37
417,0.651
418,0.399
419,0.2
420,0.492
421,0.413
422,0.039
423,0.639
424,0.631
425,0.488
426,0.675
427,0.624
428,0.572
429,0.191
430,0.07
431,0.574
432,0.665
433,0.591
434,0.669
435,0.595
436,0.588
437,0.213
438,0.488
439,0.668
440,0.65
441,0.534
442,0.231
443,0.356
444,0.213
445,0.585
446,0.582
447,0.494
448,0.454
449,0.241
450,0.481
451,0.626
452,0.208
453,0.651
454,0.628
455,0.657
456,0.622
457,0.009
458,0.498
459,0.623
460,0.168
461,0.654
462,0.345
463,0.501
464,0.368
465,0.504
466,0.364
467,0.644
468,0.593
469,0.628
470,0.64
471,0.649
472,0.436
473,0.608
474,0.651
475,0.588
476,0.409
477,0.654
478,0.644
479,0.509
480,0.655
481,0.472
482,0.627
483,0.484
484,0.485
485,0.626
486,0.579
487,0.642
488,0.587
489,0.248
490,0.503
491,0.575
492,0.638
493,0.527
494,0.633
495,0.486
496,0.472
497,0.673
498,0.277
499,0.159
500,0.279
501,0.644
502,0.523
503,0.549
504,0.451
505,0.453
506,0.499
507,0.46
508,0.575
509,0.604
510,0.642
511,0.356
512,0.577
513,0.647
514,0.631
515,0.637
516,0.656
517,0.196
518,0.65
519,0.57
520,0.336
521,0.464
522,0.64
523,0.423
524,0.545
525,0.424
526,0.603
527,0.444
528,0.637
529,0.527
530,0.168
531,0.407
532,0.079
533,0.683
534,0.593
535,0.681
536,0.638
537,0.6
538,0.381
539,0.622
540,0.261
541,0.662
542,0.583
543,0.443
544,0.54
545,0.503
546,0.434
547,0.644
548,0.618
549,0.557
550,0.623
551,0.618
552,0.6115
553,0.243
554,0.151
555,0.451
556,0.327
557,0.603
558,0.594
559,0.471
560,0.189
561,0.669
562,0.282
563,0.457
564,0.622
565,0.604
566,0.62
567,0.645
568,0.502
569,0.596
570,0.43
571,0.273
572,0.623
573,0.607
574,0.552
575,0.623
576,0.606
577,0.58
578,0.575
579,0.577
580,0.571
581,0.049
582,0.413
583,0.618
584,0.544
585,0.436
586,0.549
587,0.391
588,0.125
589,0.635
590,0.631
591,0.648
592,0.387
593,0.522
594,0.627
595,0.535
596,0.496
597,0.206
598,0.165
599,0.584
600,0.59
601,0.359
602,0.498
603,0.644
604,0.599
605,0.633
606,0.66
607,0.622
608,0.385
609,0.658
610,0.641
611,0.625
612,0.564
613,0.536
614,0.638
615,0.609
616,0.46
617,0.238
618,0.637
619,0.613
620,0.584
621,0.225
622,0.652
623,0.062
624,0.648
625,0.487
626,0.525
627,0.64
628,0.206
629,0.658
630,0.626
631,0.53
632,0.026
633,0.376
634,0.538
635,0.664
636,0.61
637,0.646
638,0.403
639,0.504
640,0.43
641,0.634
642,0.305
643,0.595
644,0.392
645,0.417
646,0.552
647,0.673
648,0.342
649,0.672
650,0.409
651,0.54
652,0.622
653,0.561
654,0.484
655,0.616
656,0.651
657,0.587
658,0.272
659,0.664
660,0.661
661,0.64
662,0.56
663,0.423
664,0.651
665,0.317
666,0.535
667,0.627
668,0.235
669,0.345
670,0.352
671,0.402
672,0.376
673,0.252
674,0.212
675,0.646
676,0.557
677,0.612
678,0.506
679,0.635
680,0.091
681,0.562
682,0.357
683,0.643
684,0.1
685,0.471
686,0.603
687,0.211
688,0.644
689,0.607
690,0.352
691,0.649
692,0.649
693,0.418
694,0.548
695,0.387
696,0.635
697,0.499
698,0.605
699,0.31
700,0.601
701,0.591
702,0.683
703,0.56
704,0.605
705,0.174
706,0.459
707,0.635
708,0.112
709,0.506
710,0.35
711,0.564
712,0.591
713,0.642
714,0.427
715,0.155
716,0.647
717,0.167
718,0.064
719,0.659
720,0.25
721,0.636
722,0.544
723,0.545
724,0.576
725,0.664
726,0.612
727,0.264
728,0.568
729,0.568
730,0.603
731,0.566
732,0.646
733,0.64
734,0.656
735,0.638
736,0.273
737,0.32
738,0.474
739,0.281
740,0.64
741,0.482
742,0.283
743,0.56
744,0.552
745,0.584
746,0.205
747,0.579
748,0.262
749,0.528
750,0.528
751,0.316
752,0.153
753,0.584
754,0.511
755,0.648
756,0.401
757,0.165
758,0.589
759,0.209
760,0.574
761,0.664
762,0.455
763,0.63
764,0.498
765,0.625
766,0.24
767,0.274
768,0.532
769,0.344
770,0.29
771,0.511
772,0.472
773,0.463
774,0.608
775,0.549
776,0.584
777,0.357
778,0.652
779,0.509
780,0.605
781,0.479
782,0.648
783,0.663
784,0.544
785,0.495
786,0.592
787,0.51
788,0.582
789,0.583
790,0.598
791,0.209
792,0.426
793,0.28
794,0.281
795,0.61
796,0.29
797,0.357
798,0.473
799,0.438
800,0.582
801,0.581
802,0.409
803,0.421
804,0.247
805,0.363
806,0.605
807,0.629
808,0.629
809,0.53
810,0.662
811,0.146
812,0.474
813,0.662
814,0.596
815,0.659
816,0.554
817,0.471
818,0.62
819,0.631
820,0.665
821,0.329
822,0.631
823,0.451
824,0.271
825,0.412
826,0.632
827,0.52
828,0.623
829,0.604
830,0.376
831,0.612
832,0.544
833,0.076
834,0.671
835,0.622
836,0.591
837,0.096
838,0.66
839,0.395
840,0.608
841,0.592
842,0.632
843,0.604
844,0.658
845,0.426
846,0.551
847,0.388
848,0.653
849,0.246
850,0.633
851,0.603
852,0.645
853,0.641
854,0.328
855,0.254
856,0.465
857,0.234
858,0.473
859,0.191
860,0.383
861,0.678
862,0.593
863,0.622
864,0.575
865,0.672
866,0.383
867,0.558
868,0.584
869,0.618
870,0.611
871,0.415
872,0.61
873,0.218
874,0.242
875,0.636
876,0.469
877,0.593
878,0.637
879,0.326
880,0.661
881,0.601
882,0.372
883,0.239
884,0.234
885,0.621
886,0.6385
887,0.652
888,0.431
889,0.622
890,0.662
891,0.646
892,0.424
893,0.493
894,0.592
895,0.296
896,0.622
897,0.541
898,0.629
899,0.412
900,0.604
901,0.633
902,0.496
903,0.625
904,0.363
905,0.471
906,0.661
907,0.687
908,0.301
909,0.287
910,0.631
911,0.489
912,0.642
913,0.64
914,0.202
915,0.555
916,0.573
917,0.499
918,0.166
919,0.455
920,0.474
921,0.138
922,0.604
923,0.334
924,0.088
925,0.474
926,0.375
927,0.56
928,0.319
929,0.231
930,0.62
931,0.455
932,0.351
933,0.602
934,0.622
935,0.605
936,0.243
937,0.353
938,0.604
939,0.605
940,0.613
941,0.55
942,0.261
943,0.6
944,0.697
945,0.481
946,0.657
947,0.355
948,0.63
949,0.431
950,0.569
951,0.651
952,0.449
953,0.2
954,0.421
955,0.6755
956,0.451
957,0.65
958,0.583
959,0.613
960,0.675
961,0.187
962,0.325
963,0.629
964,0.516
965,0.551
966,0.273
967,0.673
968,0.57
969,0.228
970,0.577
971,0.349
972,0.611
973,0.636
974,0.304
975,0.644
976,0.4
977,0.121
978,0.643
979,0.658
980,0.631
981,0.503
982,0.615
983,0.585
984,0.631
985,0.669
986,0.251
987,0.632
988,0.607
989,0.445
990,0.651
991,0.192
992,0.65
993,0.544
994,0.379
995,0.492
996,0.612
997,0.604
998,0.527
999,0.668
