,dispersion-pval
0,0.123
1,0.062
2,0.012
3,0.008
4,0.34
5,0.005
6,0.003
7,0.097
8,0.021
9,0.012
10,0.006
11,0.13
12,0.176
13,0.213
14,0.102
15,0.004
16,0.047
17,0.043
18,0.14
19,0.215
20,0.044
21,0.022
22,0.012
23,0.001
24,0.234
25,0.03
26,0.215
27,0.013
28,0.002
29,0.519
30,0.239
31,0.468
32,0.041
33,0.521
34,0.054
35,0.018
36,0.52
37,0.657
38,0.433
39,0.4045
40,0.176
41,0.463
42,0.018
43,0.37
44,0.25
45,0.008
46,0.299
47,0.071
48,0.244
49,0.023
50,0.067
51,0.124
52,0.068
53,0.112
54,0.066
55,0.097
56,0.114
57,0.12
58,0.023
59,0.003
60,0.302
61,0.043
62,0.3175
63,0.16
64,0.062
65,0.205
66,0.022
67,0.254
68,0.37
69,0.012
70,0.123
71,0.012
72,0.648
73,0.652
74,0.287
75,0.03
76,0.061
77,0.264
78,0.139
79,0.085
80,0.027
81,0.01
82,0.001
83,0.006
84,0.127
85,0.002
86,0.103
87,0.012
88,0.338
89,0.715
90,0.365
91,0.006
92,0.186
93,0.635
94,0.092
95,0.067
96,0.001
97,0.021
98,0.025
99,0.065
100,0.413
101,0.613
102,0.002
103,0.018
104,0.173
105,0.303
106,0.108
107,0.707
108,0.029
109,0.282
110,0.006
111,0.014
112,0.218
113,0.001
114,0.109
115,0.068
116,0.382
117,0.004
118,0.144
119,0.002
120,0.183
121,0.112
122,0.005
123,0.327
124,0.005
125,0.057
126,0.094
127,0.017
128,0.089
129,0.208
130,0.012
131,0.009
132,0.003
133,0.006
134,0.022
135,0.357
136,0.072
137,0.615
138,0.083
139,0.004
140,0.065
141,0.064
142,0.715
143,0.001
144,0.499
145,0.753
146,0.089
147,0.438
148,0.004
149,0.072
150,0.057
151,0.064
152,0.497
153,0.123
154,0.031
155,0.36
156,0.669
157,0.016
158,0.106
159,0.679
160,0.002
161,0.039
162,0.338
163,0.03
164,0.166
165,0.047
166,0.714
167,0.051
168,0.012
169,0.004
170,0.055
171,0.167
172,0.686
173,0.132
174,0.026
175,0.008
176,0.105
177,0.175
178,0.018
179,0.06
180,0.013
181,0.034
182,0.291
183,0.047
184,0.052
185,0.02
186,0.044
187,0.014
188,0.233
189,0.492
190,0.414
191,0.536
192,0.122
193,0.094
194,0.154
195,0.015
196,0.017
197,0.231
198,0.154
199,0.048
200,0.007
201,0.031
202,0.003
203,0.291
204,0.231
205,0.003
206,0.371
207,0.002
208,0.014
209,0.098
210,0.107
211,0.034
212,0.261
213,0.737
214,0.07
215,0.516
216,0.452
217,0.417
218,0.225
219,0.754
220,0.249
221,0.594
222,0.023
223,0.768
224,0.012
225,0.096
