25,6,Normal,LogNormal,20.0,0.18322340532694775,0.2021375,1716013626
25,6,Normal,Multinomial,20.0,550.6577223436792,0.20064375,1716013622
25,6,Normal,t3,20.0,0.38714435481378723,0.20355625,1716013779
25,6,Normal,Normal,20.0,0.2642491525268474,0.19954375,1716013771
25,6,Normal,Cauchy,20.0,1.1089029535133321,0.20388125,1716013791
25,6,Cauchy,t3,20.0,0.39308280180991917,0.20083125,1716013801
25,6,Cauchy,Normal,20.0,0.265165462113479,0.20028125,1716013798
25,6,Cauchy,Multinomial,20.0,582.1887989641323,0.2014125,1716013796
25,6,Cauchy,LogNormal,20.0,0.18565102596924052,0.1977,1716013815
25,6,t3,LogNormal,20.0,0.1837422067698725,0.2012125,1716013847
25,6,BalancedAnova,LogNormal,20.0,0.22948060342084042,0.19829375,1716013841
25,6,Cauchy,Cauchy,20.0,1.1057266679371607,0.19985,1716013835
25,6,Normal,Multinomial,40.0,842.5691550592818,0.4003,1716013985
25,6,Normal,LogNormal,40.0,0.29345932261224783,0.396475,1716013969
25,6,Normal,LogNormal,60.0,0.41238955368290764,0.59923125,1716014337
25,6,Normal,Multinomial,60.0,1086.220598726137,0.60266875,1716014358
25,6,Normal,Normal,40.0,0.4059542880069618,0.39965,1716014335
25,6,Normal,t3,40.0,0.5971909550054023,0.399175,1716014346
25,6,Cauchy,t3,40.0,0.6055045068482479,0.4011875,1716014381
25,6,Normal,Cauchy,40.0,2.0244250527020875,0.40049375,1716014356
25,6,Cauchy,LogNormal,40.0,0.2991560198641808,0.40239375,1716014423
25,6,Cauchy,Normal,40.0,0.4074932695814295,0.39920625,1716014384
25,6,BalancedAnova,LogNormal,40.0,0.36876043166943023,0.40016875,1716014480
25,6,Cauchy,Multinomial,40.0,872.8167679632692,0.39916875,1716014433
25,6,t3,LogNormal,40.0,0.29699289628166586,0.4054125,1716014476
25,6,Cauchy,Cauchy,40.0,2.0351185581440987,0.39929375,1716014487
25,6,Normal,LogNormal,80.0,0.5953539954854847,0.7999,1716014699
25,6,Normal,Multinomial,80.0,1351.5678362888152,0.80061875,1716014716
25,6,Normal,Normal,60.0,0.5280371114921217,0.60164375,1716014892
25,6,Normal,Cauchy,60.0,3.505446023943349,0.6064,1716014949
25,6,Normal,t3,60.0,0.7974462071190822,0.60113125,1716014923
25,6,Cauchy,t3,60.0,0.8014490592798221,0.59895,1716014957
25,6,Cauchy,Normal,60.0,0.5316820857553691,0.59796875,1716014997
25,6,Cauchy,LogNormal,60.0,0.41742832363671667,0.599475,1716015007
25,6,Normal,LogNormal,95.0,0.9864277594243257,0.95003125,1716015066
25,6,Normal,Multinomial,95.0,1689.6394120443283,0.94884375,1716015108
25,6,BalancedAnova,LogNormal,60.0,0.5190749090974133,0.60036875,1716015075
25,6,Cauchy,Multinomial,60.0,1036.2908817326904,0.6005625,1716015066
25,6,Cauchy,Cauchy,60.0,3.5220269038647,0.6014,1716015108
25,6,t3,LogNormal,60.0,0.41212008919497045,0.5994875,1716015113
25,6,Normal,Normal,80.0,0.6715485604569384,0.7994875,1716015458
25,6,Normal,Cauchy,80.0,7.391409545225059,0.7983375,1716015504
25,6,Normal,t3,80.0,1.0644483411519357,0.79970625,1716015505
25,6,Cauchy,t3,80.0,1.0905835610828598,0.79905,1716015581
25,6,Cauchy,Normal,80.0,0.6874723625993854,0.79591875,1716015605
25,6,Cauchy,LogNormal,80.0,0.6085666265312831,0.798575,1716015635
50,6,Normal,Normal,20.0,0.1705153566867972,0.20070625,1716015728
25,6,BalancedAnova,LogNormal,80.0,0.7547396687592987,0.803475,1716015698
25,6,Cauchy,Multinomial,80.0,1250.1371216126581,0.80215625,1716015692
25,6,Cauchy,Cauchy,80.0,7.550571338101437,0.79736875,1716015711
50,6,Normal,t3,20.0,0.2579682935639423,0.1997125,1716015784
25,6,t3,LogNormal,80.0,0.5944618007744744,0.799,1716015761
25,6,Normal,Normal,95.0,0.8761911386130353,0.94999375,1716016005
50,6,Normal,Normal,40.0,0.26065055197916,0.40025,1716016078
25,6,Normal,Cauchy,95.0,29.956570557833928,0.94916875,1716016057
50,6,Normal,t3,40.0,0.399705117425727,0.4009375,1716016160
25,6,Normal,t3,95.0,1.5606279065053912,0.949225,1716016106
25,6,Cauchy,t3,95.0,1.7479904229917445,0.950075,1716016198
25,6,Cauchy,Normal,95.0,0.965471666222476,0.94950625,1716016223
25,6,Cauchy,LogNormal,95.0,1.0754014551351228,0.9508125,1716016248
25,6,BalancedAnova,LogNormal,95.0,1.2544101683815605,0.9492875,1716016342
25,6,Cauchy,Multinomial,95.0,1997.8193922554838,0.9508375,1716016340
25,6,Cauchy,Cauchy,95.0,31.545822899252812,0.9492625,1716016333
50,6,Normal,Normal,60.0,0.337915192246945,0.5994125,1716016405
25,6,t3,LogNormal,95.0,0.9845807365908736,0.94936875,1716016389
50,6,Normal,t3,60.0,0.5293277494705667,0.60019375,1716016548
50,6,Normal,Normal,80.0,0.4282555246465092,0.79851875,1716016753
50,6,Normal,t3,80.0,0.6936885712750526,0.79974375,1716016937
50,6,Normal,Cauchy,20.0,0.9988545271978488,0.20011875,1716016987
50,6,Normal,LogNormal,20.0,0.13299176018087894,0.19975625,1716016995
50,6,Normal,Normal,95.0,0.5543060748135783,0.95141875,1716017094
50,6,Normal,Multinomial,20.0,245.61934088902797,0.2001,1716017096
50,6,Cauchy,Normal,20.0,0.1702820941162245,0.2004625,1716017235
50,6,Cauchy,t3,20.0,0.27426714856574297,0.200725,1716017250
