OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.052,0.025,0.031,0.045,0.024,0.036,0.017696039968558317
0.016,0.005,0.005,0.02,0.004,0.005,0.002114494383941242
0.1175,0.025,0.035,0.136,0.021,0.04,0.013656199323312542
0.239,0.034,0.043,0.2785,0.035,0.05,0.016322283843629493
0.002,0.004,0.004,0.003,0.004,0.004,0.00022745697034761203
0.001,0.002,0.002,0.001,0.002,0.003,0.00017571908863676662
0.007,0.001,0.001,0.009,0.001,0.001,0.0007873424177673022
0.043,0.008,0.008,0.057,0.01,0.01,0.00825426386943179
0.058,0.08,0.089,0.073,0.082,0.079,0.0621435957583108
0.022,0.007,0.009,0.02,0.008,0.011,0.0027504031656881414
0.0945,0.019,0.018,0.127,0.019,0.02,0.011725012826633449
0.002,0.002,0.002,0.002,0.002,0.002,0.0003200677941603406
0.085,0.017,0.018,0.078,0.019,0.02,0.00962510225220131
0.001,0.001,0.001,0.001,0.001,0.001,1.2476341026209382e-06
0.107,0.1245,0.131,0.134,0.12,0.15,0.08775553140352325
0.051,0.026,0.024,0.058,0.024,0.025,0.010762983925443942
0.398,0.208,0.233,0.462,0.2115,0.251,0.16803635815237422
0.001,0.001,0.001,0.001,0.001,0.001,1.5889859369630433e-05
0.0335,0.033,0.027,0.036,0.037,0.024,0.0174371012667201
0.156,0.2445,0.165,0.103,0.449,0.116,0.2087373646407574
0.015,0.004,0.005,0.02,0.002,0.006,0.0013603432173564156
0.278,0.089,0.093,0.331,0.0885,0.1065,0.07166903881299261
0.051,0.02,0.025,0.047,0.021,0.029,0.007037915988352696
0.027,0.013,0.012,0.043,0.0125,0.021,0.008471941954685135
0.217,0.009,0.029,0.3,0.011,0.038,0.00895765072716306
0.202,0.3295,0.3035,0.213,0.354,0.278,0.2612402092246767
0.003,0.001,0.001,0.002,0.002,0.001,0.0009032128514790807
0.6865,0.825,0.857,0.6815,0.8395,0.8195,0.861480827756496
0.023,0.019,0.021,0.027,0.018,0.024,0.006847941588062922
0.027,0.005,0.008,0.022,0.006,0.01,0.0026666020925465704
0.3205,0.313,0.241,0.3245,0.332,0.218,0.26327399413796476
0.065,0.014,0.016,0.0865,0.015,0.02,0.006388979920415206
0.021,0.013,0.011,0.024,0.011,0.01,0.004517743272629493
0.44,0.093,0.106,0.422,0.097,0.122,0.06778782139719693
0.084,0.08,0.0705,0.084,0.081,0.059,0.048427480312833414
0.052,0.076,0.06,0.046,0.087,0.055,0.05585583253934566
0.011,0.005,0.007,0.018,0.004,0.009,0.0021057576685196405
0.2335,0.095,0.091,0.206,0.093,0.098,0.0852903361278118
0.007,0.013,0.01,0.01,0.016,0.01,0.014729184572630524
0.011,0.001,0.001,0.013,0.001,0.003,0.0006475829312354805
0.005,0.002,0.002,0.005,0.003,0.002,0.0011475270524260448
0.48,0.089,0.2125,0.37,0.094,0.23,0.05932627979194203
0.006,0.003,0.002,0.005,0.003,0.002,0.0008695970827711596
0.012,0.018,0.005,0.012,0.014,0.004,0.011555989796467861
0.452,0.056,0.074,0.4215,0.054,0.099,0.04944723047126755
0.1745,0.009,0.011,0.185,0.011,0.013,0.005407367278047678
0.011,0.009,0.008,0.02,0.011,0.01,0.006079126995320089
0.002,0.001,0.001,0.003,0.001,0.001,0.00026175104893635086
0.249,0.2975,0.275,0.251,0.257,0.279,0.26008017232600616
0.2345,0.162,0.177,0.217,0.1585,0.188,0.13299619606608498
0.14,0.089,0.067,0.163,0.088,0.071,0.06862500113628929
0.2215,0.2145,0.2155,0.215,0.209,0.211,0.16261649182471283
0.2675,0.2805,0.2445,0.254,0.2675,0.293,0.24166058905319343
0.001,0.001,0.001,0.001,0.001,0.001,3.047320398825396e-05
0.077,0.019,0.019,0.105,0.018,0.021,0.005614337921566469
0.001,0.001,0.001,0.001,0.001,0.001,2.7972192429483815e-05
0.001,0.001,0.001,0.001,0.001,0.001,0.00015686491661831293
0.005,0.007,0.007,0.009,0.006,0.007,0.004845755535020097
0.005,0.011,0.013,0.009,0.011,0.012,0.005164678079125499
0.006,0.001,0.004,0.006,0.001,0.005,0.0004695953358464507
0.013,0.002,0.003,0.012,0.002,0.004,0.0008862565810967667
0.045,0.017,0.013,0.042,0.019,0.012,0.011142088920508655
0.001,0.001,0.001,0.001,0.001,0.001,0.0002855371959615438
0.533,0.592,0.557,0.518,0.624,0.496,0.5687622796118311
0.006,0.001,0.001,0.006,0.001,0.002,0.00021376509858843867
0.026,0.019,0.023,0.03,0.018,0.025,0.010276513443467819
0.061,0.046,0.066,0.085,0.0435,0.069,0.03830500151070025
0.019,0.002,0.003,0.014,0.002,0.004,9.36487396963242e-05
0.03,0.019,0.023,0.046,0.018,0.027,0.008588308765540498
0.03,0.015,0.014,0.039,0.015,0.013,0.011229344176116157
0.0105,0.01,0.014,0.021,0.009,0.014,0.006751276798712732
0.011,0.014,0.015,0.011,0.017,0.017,0.007601575405642075
0.029,0.008,0.011,0.026,0.01,0.012,0.0035705442278889895
0.027,0.015,0.017,0.028,0.013,0.018,0.010008992055787534
0.069,0.009,0.011,0.075,0.01,0.015,0.004590298840373626
0.001,0.001,0.001,0.001,0.001,0.001,4.643093372800725e-09
0.001,0.001,0.001,0.001,0.001,0.001,4.623498929103411e-07
0.119,0.051,0.046,0.219,0.048,0.07,0.03071014750125432
0.229,0.027,0.027,0.1545,0.035,0.032,0.011443636069879162
0.047,0.031,0.032,0.0405,0.029,0.032,0.015336545534910918
0.029,0.01,0.009,0.032,0.011,0.011,0.006487257848032822
0.331,0.104,0.16,0.346,0.113,0.202,0.0898263001184043
0.002,0.004,0.003,0.003,0.003,0.002,0.0011595285307541762
0.003,0.001,0.001,0.003,0.001,0.001,9.393760910137451e-05
0.282,0.4045,0.4365,0.348,0.3935,0.4375,0.34991786746065734
0.036,0.044,0.032,0.047,0.0435,0.028,0.024950224464199533
0.003,0.002,0.002,0.004,0.002,0.002,0.0006119565642981577
0.003,0.002,0.002,0.002,0.004,0.002,0.0013363105775974818
0.039,0.003,0.004,0.053,0.003,0.005,0.0015416176875603098
0.156,0.012,0.016,0.148,0.011,0.028,0.009200948849136796
0.002,0.001,0.001,0.002,0.001,0.001,1.548884168718338e-05
0.038,0.034,0.032,0.045,0.027,0.036,0.021249052098566378
0.006,0.003,0.003,0.01,0.002,0.003,0.0025510594069229346
0.022,0.006,0.01,0.026,0.006,0.014,0.0020839055148709814
0.102,0.006,0.011,0.15,0.007,0.03,0.0036583873746385523
0.002,0.002,0.002,0.002,0.002,0.002,0.0001248279891272219
0.001,0.002,0.002,0.001,0.001,0.002,0.0003492093353620086
0.011,0.001,0.001,0.018,0.001,0.003,0.001288052867093875
0.015,0.009,0.011,0.019,0.009,0.011,0.007459890362259736
0.559,0.6335,0.765,0.6245,0.626,0.7595,0.6379485265242558
0.211,0.083,0.092,0.239,0.084,0.098,0.06489879226974442
0.042,0.047,0.043,0.046,0.056,0.039,0.04034577983291809
0.242,0.091,0.116,0.304,0.095,0.154,0.06654661816326034
0.035,0.018,0.021,0.029,0.023,0.022,0.008149374658343223
0.479,0.27,0.3025,0.426,0.272,0.3215,0.24152285961476402
0.014,0.003,0.003,0.015,0.003,0.003,0.0004099250600686704
0.001,0.001,0.001,0.001,0.001,0.001,2.178750456350614e-05
0.148,0.08,0.08,0.177,0.076,0.086,0.048867849800538606
0.026,0.005,0.011,0.052,0.005,0.013,0.0018068314737001458
0.343,0.047,0.072,0.3335,0.055,0.097,0.033671648632773304
0.055,0.01,0.015,0.037,0.008,0.018,0.004560467193577111
0.03,0.019,0.018,0.034,0.022,0.014,0.007552029938844641
0.745,0.259,0.363,0.7115,0.268,0.418,0.22029186442779577
0.004,0.001,0.001,0.009,0.001,0.004,0.0006474026890797244
0.013,0.004,0.004,0.016,0.002,0.005,0.000672383860472056
0.113,0.081,0.079,0.124,0.093,0.078,0.05336417072037074
0.015,0.003,0.005,0.017,0.003,0.008,0.0008276240421617928
0.002,0.002,0.002,0.002,0.002,0.002,0.0001939889737095763
0.084,0.043,0.05,0.102,0.045,0.053,0.023599015026434755
0.039,0.005,0.009,0.034,0.005,0.012,0.0014019225479015981
0.049,0.01,0.013,0.067,0.01,0.014,0.003899100690891055
0.015,0.002,0.002,0.021,0.002,0.004,0.0011387246660469186
0.01,0.007,0.006,0.008,0.007,0.006,0.003686215289475702
0.011,0.001,0.002,0.007,0.001,0.003,0.0007035798748161176
0.09,0.095,0.095,0.1025,0.095,0.094,0.09372992460582881
0.358,0.151,0.159,0.395,0.1445,0.168,0.10457324061130706
0.299,0.043,0.054,0.303,0.051,0.08,0.03262194305824242
0.108,0.103,0.105,0.154,0.097,0.113,0.07561572667451419
0.068,0.067,0.077,0.104,0.053,0.09,0.05724199576463045
0.222,0.0655,0.107,0.2355,0.067,0.141,0.055915645416973504
0.037,0.01,0.016,0.046,0.01,0.02,0.004201853709483702
0.066,0.021,0.027,0.069,0.019,0.029,0.01313968314255538
