OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.075,0.054,0.0595,0.06,0.06,0.058,0.04051612904568617
0.188,0.359,0.269,0.174,0.385,0.193,0.36330580304547844
0.096,0.3045,0.109,0.051,0.468,0.044,0.2889898844105565
0.004,0.005,0.005,0.003,0.005,0.002,0.0014187980221825036
0.098,0.103,0.075,0.073,0.108,0.057,0.060409787307123895
0.14,0.13,0.138,0.126,0.128,0.145,0.07129374959589796
0.1,0.004,0.007,0.086,0.006,0.021,1.000555775613474e-05
0.214,0.1635,0.1715,0.209,0.165,0.177,0.16039371401750002
0.4135,0.382,0.393,0.429,0.3955,0.403,0.3982118638405292
0.06,0.108,0.091,0.043,0.134,0.057,0.07688067813646704
0.036,0.019,0.018,0.047,0.02,0.02,0.008097069175040248
0.111,0.245,0.166,0.119,0.251,0.133,0.2408374971748852
0.16,0.2245,0.172,0.145,0.236,0.153,0.17555070417358426
0.005,0.007,0.005,0.005,0.007,0.005,0.000604211610707595
0.142,0.128,0.13,0.148,0.125,0.124,0.016297639139986463
0.236,0.3065,0.28,0.271,0.29,0.276,0.2782078915413359
0.561,0.184,0.282,0.7025,0.2075,0.452,0.11027753490681404
0.123,0.07,0.088,0.138,0.079,0.097,0.02552461407566111
0.003,0.023,0.005,0.003,0.017,0.004,0.012669781892247926
0.3345,0.5095,0.412,0.291,0.579,0.338,0.49977323653016914
0.02,0.046,0.027,0.016,0.058,0.018,0.013684107035222047
0.805,0.823,0.8305,0.7665,0.802,0.844,0.8640844658853069
0.4655,0.6,0.6855,0.704,0.7125,0.7185,0.7311966653767326
0.104,0.108,0.092,0.105,0.094,0.111,0.06021112837560242
0.229,0.4685,0.25,0.142,0.5185,0.1775,0.5222463713231529
0.102,0.023,0.024,0.121,0.023,0.0295,0.010249024858116405
0.117,0.155,0.138,0.14,0.158,0.133,0.17285842302062368
0.079,0.098,0.072,0.047,0.108,0.035,0.049778361340959865
0.115,0.102,0.092,0.141,0.095,0.096,0.043297987636756366
0.02,0.116,0.016,0.013,0.087,0.016,0.1062728345648959
0.334,0.26,0.173,0.249,0.2775,0.214,0.23283965222124509
0.2145,0.359,0.371,0.206,0.395,0.3485,0.31670476608298864
0.586,0.8295,0.705,0.701,0.682,0.7815,0.8859111476638708
0.489,0.111,0.147,0.396,0.1215,0.2085,0.07310746543204244
0.393,0.319,0.341,0.4085,0.304,0.346,0.29801483174789856
0.904,0.1375,0.483,0.227,0.619,0.14,0.07041051322333292
0.295,0.4155,0.294,0.275,0.4355,0.239,0.3880941604573839
0.03,0.008,0.011,0.031,0.008,0.011,0.0010128477253336394
0.136,0.135,0.103,0.135,0.137,0.105,0.12947644671383052
0.218,0.319,0.28,0.189,0.317,0.254,0.2978031533444746
0.457,0.494,0.51,0.5465,0.453,0.5385,0.5512880828747031
0.104,0.074,0.066,0.143,0.068,0.077,0.051346149135370514
0.4735,0.7615,0.516,0.335,0.8355,0.295,0.9880077721199555
0.069,0.043,0.042,0.067,0.046,0.044,0.007000184708193821
0.07,0.083,0.071,0.069,0.084,0.067,0.0449947765741996
0.4965,0.5645,0.352,0.6325,0.4495,0.499,0.6941499563537883
0.051,0.13,0.073,0.035,0.166,0.044,0.08910169706088047
0.6335,0.7115,0.638,0.6275,0.743,0.616,0.7681254447830987
0.072,0.021,0.034,0.083,0.022,0.045,0.004981408835683184
0.032,0.037,0.024,0.042,0.032,0.026,0.007969230412702212
0.019,0.03,0.02,0.024,0.035,0.016,0.014438525976588078
0.06,0.172,0.063,0.061,0.16,0.053,0.1994506902530519
0.227,0.2545,0.2555,0.243,0.254,0.25,0.2755596453368308
0.516,0.7805,0.5765,0.737,0.67,0.7495,0.9416785035896929
0.117,0.098,0.089,0.123,0.094,0.09,0.0580107635934798
0.383,0.6205,0.403,0.128,0.916,0.1595,0.6594584115053674
0.143,0.1405,0.134,0.1315,0.1445,0.132,0.0964672718382425
0.107,0.141,0.131,0.105,0.146,0.116,0.06650550116195415
0.03,0.063,0.039,0.034,0.066,0.033,0.03083150277277058
0.088,0.072,0.077,0.091,0.074,0.089,0.02562760245600264
0.401,0.404,0.409,0.373,0.3925,0.427,0.39879533578678283
0.698,0.6115,0.6455,0.73,0.603,0.6865,0.7907110505954347
0.913,0.5175,0.925,0.444,0.8885,0.674,0.5653860117025609
0.066,0.0245,0.031,0.04,0.025,0.029,0.005154759115119621
0.2465,0.376,0.313,0.235,0.3635,0.2795,0.3692360078611203
0.025,0.045,0.029,0.027,0.046,0.025,0.02127561386148507
0.002,0.001,0.002,0.002,0.001,0.002,1.599502075432265e-05
0.675,0.5905,0.557,0.7365,0.576,0.5915,0.6076156466897245
0.0845,0.083,0.081,0.076,0.091,0.077,0.04418874579292238
0.232,0.311,0.246,0.25,0.295,0.255,0.2637181977772942
0.2725,0.4295,0.295,0.2035,0.495,0.2155,0.396854316510434
0.162,0.162,0.1395,0.193,0.161,0.154,0.11464848605064681
0.1725,0.375,0.321,0.168,0.364,0.264,0.35296249848085404
0.023,0.022,0.018,0.025,0.029,0.019,0.00692907791660323
0.373,0.7935,0.474,0.6975,0.624,0.7155,0.8865730872112656
0.02,0.006,0.003,0.023,0.007,0.006,0.0011244503229901857
0.402,0.319,0.315,0.4675,0.3205,0.337,0.26466231228494974
0.333,0.4175,0.286,0.153,0.885,0.153,0.38418212776645344
0.024,0.102,0.037,0.011,0.099,0.014,0.039081636883322
0.542,0.8055,0.706,0.439,0.713,0.5615,0.9240728875589385
0.066,0.065,0.049,0.055,0.076,0.0395,0.02387699746167923
0.071,0.113,0.051,0.078,0.095,0.053,0.057821831231976484
0.2625,0.115,0.107,0.245,0.1,0.1285,0.06513875233145237
0.531,0.723,0.639,0.567,0.644,0.6435,0.828628170111271
0.028,0.017,0.014,0.018,0.016,0.014,0.0018329569472974767
0.018,0.061,0.018,0.011,0.05,0.014,0.032700122769030324
0.003,0.006,0.006,0.002,0.006,0.005,0.0010398337028517408
0.018,0.008,0.011,0.016,0.008,0.014,0.0009081521421687784
0.154,0.0815,0.085,0.192,0.078,0.11,0.04102386411171737
0.096,0.227,0.138,0.094,0.267,0.1,0.18050336642184617
0.01,0.02,0.01,0.014,0.017,0.008,0.0015633329884018833
0.085,0.192,0.136,0.076,0.187,0.089,0.13471614515942182
0.08,0.078,0.061,0.044,0.08,0.048,0.04874566369614548
0.048,0.043,0.04,0.041,0.048,0.038,0.008733195558041905
0.049,0.0645,0.051,0.07,0.065,0.046,0.021589784300905985
0.001,0.001,0.001,0.001,0.001,0.001,6.833510030823262e-06
0.227,0.184,0.178,0.246,0.184,0.176,0.125103149294894
0.441,0.32,0.339,0.427,0.332,0.359,0.3361554389010072
0.032,0.07,0.036,0.038,0.063,0.036,0.032310948501574635
0.48,0.5025,0.453,0.482,0.4885,0.491,0.5005246562827408
0.805,0.512,0.7685,0.683,0.6165,0.743,0.5104089583230764
0.1075,0.2185,0.102,0.107,0.306,0.071,0.31310664238491875
0.59,0.6115,0.559,0.601,0.6185,0.5585,0.7139267693607028
0.018,0.032,0.014,0.02,0.033,0.012,0.0074593089958148295
0.6025,0.7785,0.71,0.4385,0.896,0.45,0.9536571064583155
0.499,0.403,0.337,0.4505,0.322,0.322,0.40872145046105324
0.116,0.142,0.123,0.115,0.142,0.112,0.19399504418232202
0.043,0.043,0.03,0.05,0.05,0.021,0.024975523327660676
0.413,0.691,0.395,0.3025,0.893,0.239,0.7173117537392439
0.043,0.05,0.049,0.044,0.057,0.045,0.013200152459592303
0.932,0.4,0.9035,0.3985,0.913,0.5945,0.38162067191828664
0.102,0.034,0.015,0.137,0.035,0.0275,0.011972919577243831
0.133,0.147,0.128,0.144,0.16,0.129,0.1671482848081786
0.0545,0.065,0.058,0.057,0.063,0.056,0.016953126870453143
0.073,0.0785,0.074,0.066,0.086,0.071,0.01781133526210642
0.003,0.015,0.002,0.002,0.013,0.002,0.0032948724048124803
0.071,0.076,0.074,0.08,0.076,0.068,0.04733884756435022
0.022,0.015,0.007,0.019,0.014,0.009,0.0038825197074668642
0.092,0.0705,0.071,0.067,0.076,0.067,0.010136291436291946
0.183,0.094,0.104,0.175,0.105,0.106,0.06599686459435841
0.334,0.317,0.34,0.362,0.323,0.344,0.3424376018569013
