OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.028,0.012,0.018,0.029,0.01,0.023,0.014627647129399414
0.001,0.001,0.001,0.001,0.001,0.001,1.6415861645563258e-06
0.001,0.001,0.001,0.001,0.001,0.001,0.0014578117046111028
0.007,0.01,0.006,0.006,0.011,0.005,0.005782728419945503
0.0505,0.004,0.008,0.062,0.003,0.01,0.0029821633122772305
0.001,0.001,0.001,0.001,0.001,0.001,2.3421061495141394e-07
0.001,0.001,0.001,0.001,0.001,0.001,1.0041042232009411e-05
0.001,0.001,0.001,0.001,0.001,0.001,2.301513812941006e-06
0.001,0.001,0.001,0.001,0.001,0.001,9.346517205015128e-07
0.002,0.001,0.001,0.002,0.001,0.001,6.789915174633258e-06
0.005,0.001,0.001,0.004,0.001,0.001,2.2467921076204597e-07
0.002,0.001,0.001,0.006,0.001,0.001,3.976464311379446e-05
0.012,0.003,0.003,0.016,0.003,0.003,0.0012039331039374246
0.036,0.009,0.008,0.045,0.009,0.012,0.004863614215774488
0.014,0.003,0.003,0.017,0.004,0.006,0.0012697395153659057
0.004,0.001,0.001,0.004,0.001,0.001,1.1308856388897143e-05
0.006,0.0085,0.003,0.008,0.012,0.002,0.005512594929346782
0.003,0.005,0.004,0.005,0.006,0.005,0.006158779630297045
0.007,0.005,0.006,0.008,0.005,0.007,0.00394563740574884
0.002,0.001,0.001,0.002,0.001,0.001,0.00013248229817327457
0.965,0.054,0.1025,0.9305,0.0565,0.137,0.03853204924345796
0.011,0.002,0.002,0.011,0.003,0.002,0.002122922672693733
0.0605,0.002,0.006,0.0445,0.002,0.006,0.001104357625146951
0.001,0.001,0.001,0.001,0.001,0.001,6.2752018373727535e-09
0.001,0.001,0.001,0.001,0.001,0.001,1.5625071079825522e-08
0.002,0.001,0.001,0.002,0.001,0.002,1.903524857640399e-05
0.001,0.001,0.001,0.001,0.001,0.001,1.5594873063731486e-05
0.06,0.001,0.004,0.055,0.001,0.005,0.00021819080312029737
0.249,0.014,0.02,0.2195,0.014,0.033,0.00995582001560488
0.045,0.01,0.013,0.06,0.01,0.012,0.02020248298126306
0.006,0.001,0.001,0.007,0.001,0.001,0.0001180046785983727
0.001,0.001,0.001,0.002,0.001,0.001,2.1094305765766342e-06
0.002,0.001,0.001,0.002,0.001,0.001,1.9420466672957927e-05
0.012,0.001,0.001,0.015,0.001,0.001,0.00010645436059093314
0.006,0.002,0.002,0.012,0.002,0.002,0.0004165828517191191
0.003,0.001,0.001,0.006,0.001,0.001,0.0023346982244333027
0.008,0.001,0.001,0.011,0.001,0.001,1.452979749559939e-05
0.001,0.001,0.001,0.002,0.001,0.001,0.00019544236031691266
0.001,0.001,0.001,0.001,0.001,0.001,7.9283355469714e-05
0.137,0.004,0.0045,0.145,0.0045,0.006,0.0027604355015860373
0.001,0.002,0.002,0.001,0.002,0.002,0.0001881997647985756
0.001,0.003,0.005,0.001,0.003,0.004,0.0008702095086652585
0.001,0.001,0.001,0.001,0.001,0.001,1.171968332854501e-06
0.001,0.001,0.001,0.001,0.001,0.001,1.7075890102854233e-06
0.0215,0.005,0.008,0.022,0.004,0.009,0.0022680596454678157
