OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.001,0.001,0.001,0.001,0.001,0.001,2.793952372993551e-07
0.801,0.137,0.017,0.7405,0.0465,0.014,0.13053906863612888
0.4085,0.1565,0.011,0.004,0.1605,0.001,0.15190950821429416
0.001,0.023,0.001,0.001,0.041,0.001,0.019944542121291632
0.011,0.025,0.001,0.001,0.018,0.001,0.019276206295804062
0.2135,0.2,0.0395,0.007,0.1875,0.0055,0.18000640328327186
0.095,0.135,0.003,0.0165,0.153,0.001,0.13010076917042027
0.001,0.001,0.001,0.001,0.001,0.001,0.00033241956719417024
0.0605,0.085,0.002,0.002,0.0275,0.002,0.06461689464609664
0.001,0.003,0.001,0.001,0.001,0.001,0.00044691739794470254
0.03,0.008,0.001,0.001,0.0035,0.001,0.004821963194531218
0.005,0.019,0.001,0.001,0.003,0.001,0.01625665965125237
0.141,0.073,0.006,0.018,0.05,0.005,0.0766712112904298
0.001,0.001,0.002,0.001,0.001,0.001,0.00023937092606531892
0.001,0.001,0.001,0.001,0.001,0.001,1.5846593792128375e-06
0.0715,0.004,0.001,0.003,0.003,0.001,0.00395866869784127
0.001,0.003,0.001,0.001,0.001,0.001,0.002186337850844782
0.0585,0.1425,0.002,0.007,0.15,0.001,0.1428312875141852
0.001,0.001,0.001,0.001,0.001,0.001,4.8753911452924495e-06
0.4455,0.017,0.003,0.0755,0.006,0.002,0.01799462782801484
0.053,0.003,0.001,0.001,0.003,0.001,0.0019615591335018345
0.1345,0.003,0.001,0.004,0.003,0.001,0.0006194570651749973
0.001,0.058,0.001,0.001,0.024,0.001,0.05332247691558273
0.003,0.034,0.001,0.001,0.015,0.001,0.02974616568678984
0.004,0.001,0.001,0.001,0.001,0.001,0.001005001306664794
0.001,0.005,0.001,0.001,0.005,0.001,0.003454102362873852
0.011,0.006,0.001,0.001,0.001,0.001,0.003706839758509212
0.001,0.0435,0.001,0.001,0.017,0.001,0.029852117035376158
0.4925,0.248,0.008,0.0665,0.2745,0.001,0.25569419775420205
0.063,0.007,0.001,0.002,0.006,0.001,0.002651213861701185
0.001,0.005,0.001,0.001,0.002,0.001,0.0017048863047707883
0.022,0.014,0.003,0.003,0.007,0.001,0.009354440695679051
