OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.0735,0.002,0.005,0.079,0.002,0.005,0.0018449954815478245
0.026,0.002,0.005,0.033,0.002,0.01,0.003932892799490293
0.5835,0.1955,0.2265,0.5665,0.1935,0.2345,0.18586008976918078
0.1575,0.011,0.014,0.334,0.01,0.016,0.00712945488269531
0.016,0.002,0.001,0.02,0.002,0.001,0.000914356520801701
0.002,0.001,0.001,0.002,0.001,0.001,1.1308121961748303e-05
0.006,0.001,0.001,0.011,0.001,0.001,0.00010082485032890357
0.005,0.002,0.001,0.004,0.002,0.002,0.0015373358328112647
0.4955,0.372,0.3635,0.4785,0.3475,0.38,0.3813406814691881
0.0295,0.049,0.047,0.024,0.047,0.045,0.04386311717181748
0.002,0.001,0.001,0.001,0.001,0.001,2.577685619944491e-05
0.1165,0.024,0.0255,0.093,0.025,0.028,0.02895128665812435
0.103,0.007,0.005,0.1205,0.007,0.006,0.0037537169890198047
0.055,0.002,0.002,0.078,0.002,0.004,0.0014493827172886943
0.002,0.001,0.001,0.002,0.001,0.001,0.0011445348071732408
0.013,0.001,0.001,0.013,0.001,0.003,0.0003067148079332123
0.048,0.02,0.016,0.054,0.02,0.02,0.005991226419962766
0.001,0.002,0.001,0.001,0.002,0.001,0.0009772768478091525
0.0015,0.001,0.001,0.001,0.001,0.001,2.6636726142254653e-05
0.014,0.009,0.004,0.014,0.009,0.005,0.004478614755882625
0.01,0.003,0.007,0.013,0.003,0.008,0.0021933243711541655
0.001,0.011,0.015,0.001,0.009,0.0125,0.011359108742819157
0.001,0.002,0.001,0.001,0.003,0.001,0.0004733941634992518
0.003,0.001,0.001,0.003,0.001,0.001,0.0002834187180384695
0.517,0.077,0.2825,0.508,0.101,0.3225,0.07486194463759313
0.009,0.014,0.01,0.012,0.013,0.02,0.010615937883359452
0.001,0.003,0.005,0.001,0.003,0.0055,0.0015229540056863541
0.034,0.003,0.005,0.035,0.003,0.006,0.0003162490250389184
0.001,0.001,0.001,0.001,0.001,0.001,7.109825632823151e-05
0.148,0.06,0.089,0.1395,0.0605,0.092,0.05046709039079751
0.0465,0.007,0.005,0.053,0.007,0.006,0.008482576404400305
0.38,0.314,0.274,0.356,0.3135,0.261,0.2977695779096639
0.001,0.001,0.001,0.001,0.001,0.001,1.0176043442768003e-05
0.016,0.002,0.001,0.018,0.002,0.001,0.00017321547240396347
